status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
This wife had no idea what she'd gotten herself into.,"Wife Hides Under The Bed To See If Her Husband Is Faithful, But Hears Something Very Unexpected",link,http://www.americanow.com/story/society/2017/05/02/wife-tricks-husband-test-loyalty-gets-big-surprise?fb=abc,5/3/17 19:31,34,1,14,16,1,0,17,0,0
Yes or no?,Trump And Respect,video,https://www.facebook.com/opposingviews/videos/10154729260446051/,5/3/17 19:00,3204,1532,189,2770,125,5,240,6,58
This Playboy model is sparking serious outrage after people noticed something about her naked picture posted online.,Model Sparks Outrage With Photo After People Notice Something About It. Look Closer. (Photos),link,https://www.opposingviews.com/i/social/model-sparks-outrage-posing-naked-top-sacred-mountain,5/3/17 18:31,17,24,0,11,2,1,1,1,1
Do you agree with this?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154729275566051/?type=3,5/3/17 18:00,937,155,288,876,46,2,7,1,5
"This stay-at-home mom new the drill. She had already given birth twice before. Despite that, after she asked the doctor for a natural birth, every in the room was shocked to see what popped out of her just two hours later.","Mother Asks Doctor For Natural Birth, Shocked To See What Pops Out Of Her",link,http://www.americanow.com/story/health/2017/05/02/doctors-shocked-weight-newborn-baby-photos?fb=abc,5/3/17 17:31,82,6,34,55,4,21,1,1,0
Would Michelle Obama get your vote if she ran for president?,Michelle And The Presidency,video,https://www.facebook.com/opposingviews/videos/10154729251401051/,5/3/17 17:00,5356,6084,340,2426,285,31,1513,44,1057
This photo of an Ivanka Trump billboard is sparking outrage and going viral after people realized something about it. Look closer.,Ivanka Trump Billboard Sparks Outrage After People Notice Something About It. Look Closer. (Photo),link,https://www.opposingviews.com/i/politics/viral-photo-ivanka-trump-billboard-sparks-outrage-then-truth-comes-out,5/3/17 16:31,23,34,4,18,2,0,2,1,0
The Trump Administration just made a decision that has the Obamas fuming. Do you support or oppose this?,Trump Administration Erases Michelle Obama's Achievement,video,https://www.facebook.com/opposingviews/videos/10154729186976051/,5/3/17 16:02,592,250,57,484,38,2,7,3,58
Viewers of this video-gone-viral were left horrified to hear something that shouldn't have been there дус and it was in the background the entire time.,"As Girls Beat Each Other Bloody, Viewers Horrified By What's In Background",link,http://www.americanow.com/story/society/2017/05/02/parents-coach-daughter-fist-fight-video?fb=abc,5/3/17 15:31,88,35,38,41,2,5,3,2,35
"After sparking controversy for her ""racist"" comment about Barack Obama, Katy Perry just got accused of doing so much worse.",Katy Perry Is In Hot Water After What Word She Used To Her Producer's Face (Photos),link,https://www.opposingviews.com/i/society/katy-perry-accused-calling-producer-n-word,5/3/17 15:00,34,65,5,11,1,0,14,0,8
This picture of Melania Trump's signature is going viral after people noticed something really strange about it.,Take A Good Look At Melania Trump's Signature. See Anything Wrong With It?,link,https://www.opposingviews.com/i/politics/people-suspect-donald-forging-melanias-signature,5/3/17 14:30,57,159,16,35,2,10,6,1,3
"Earlier today, we learned that Barack Obama proposed to another woman before Michelle while he was already dating the first lady. Now, the truth about what he did with a male college professor has come out.",Obama Biography Reveals What He Did Thanks To His Gay Professor (Photo),link,https://www.opposingviews.com/i/politics/book-claims-barack-obama-considered-pursuing-gay-relationship,5/3/17 14:03,212,515,64,107,7,11,53,1,33
"By now, you've heard that 2 people are dead following a shooting at North Lake College near Dallas, Texas. Well, now there's been a major development.",Breaking Development After 2 Dead In Texas School Shooting,link,https://www.opposingviews.com/i/society/crime/2-dead-college-shooting-near-dallas,5/3/17 13:30,62,14,43,29,0,3,0,28,2
"You've seen her in some of the most iconic movies of our time. People all around the world watched her on screen for decades. Now, she's been found dead. Rest in peace, ma'am.",Legendary Actress Found Dead,link,https://www.opposingviews.com/i/society/actress-lorna-gray-dead-99,5/3/17 13:00,178,17,50,91,1,5,0,80,1
"If you get bit by a tick, you need to look for this sign - because you most likely have this deadly disease that's on the rise.","If You Have This Symptom From A Tick Bite, You Most Likely Have A 15% Chance Of Dying From This",link,https://www.opposingviews.com/i/health/officials-warn-deadly-tick-borne-virus,5/3/17 12:01,25,8,110,17,1,6,0,1,0
"It's just been revealed that Barack Obama dated this woman at the same time as Michelle, and he even asked her to marry him before the future First Lady. If that isn't bad enough, there's just been another shocking discovery.","Barack Obama Proposed To Another Woman After He Already Met Michelle, And Now We've Learned More",link,https://www.opposingviews.com/i/society/there-was-another-woman-barack-obama-loved-and-he-continued-see-her-even-after-meeting,5/3/17 11:00,381,1232,105,168,4,24,139,4,42
Some people are calling Stephen Colbert a homophobe for what he said about President Trump. Do you agree?,Colbert Accused Of Homophobia Over Trump Comments,link,https://www.opposingviews.com/i/society/stephen-colbert-branded-homphobe-joke-about-president-trump,5/3/17 9:02,548,919,55,344,8,7,98,13,78
"These four lured a 14-year-old girl to a house by telling her they had a job for her. When she got there, she was raped. They then proceeded to bring her to another house, and that's when they put her in a Craigslist ad and forced her to have sex with random men for money. If all that doesn't sound bad enough, it gets worse.Simple question: Do these 4 deserve to face the death penalty?","These Four Trafficked A 14-Year-Old Girl, But Just When You Thought It Couldn't Get Worse, It Does",link,https://www.opposingviews.com/i/society/crime/4-charged-trafficking-14-year-old-girl,5/3/17 8:00,318,252,139,107,2,1,1,20,187
"If you have one of these VHS tapes, it could be worth nearly $10,000.","If You Have One Of These VHS Tapes, They Could Be Worth Nearly $10,000",link,https://www.opposingviews.com/i/society/some-vhs-tapes-are-worth-thousands?fb=wt,5/3/17 7:31,198,55,364,163,2,28,5,0,0
The only thing crazier than the fact that this woman stomped on a car windshield on camera is the unbelievable reason why she did it.,Woman Arrested After Passersby See What She's Doing (Video),link,https://www.opposingviews.com/i/society/crime/woman-arrested-stomping-car,5/3/17 7:00,11,3,3,11,0,0,0,0,0
Do you feel the same way?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154726335261051/?type=3,5/3/17 0:15,847,13,248,828,15,1,3,0,0
Do you agree with Reagan?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154724318786051/?type=3,5/2/17 23:45,2661,151,1114,2541,92,5,6,4,13
Do you agree?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154724317056051/?type=3,5/2/17 23:10,2733,95,1615,2619,90,16,1,5,2
Dan Rather says Trump's recent comments on the Civil War show he's embarrassingly ignorant about U.S. history. Is he right?,Dan Rather: Trump's Knowledge Of History 'Below That Of Most Grade Schoolers',link,https://www.opposingviews.com/i/society/dan-rather-trumps-knowledge-history-below-most-gradeschoolers?fb=ov,5/2/17 22:35,1496,1977,334,1045,46,22,202,24,157
Do you feel the same way?,"Rep. Maxine Waters: Trump Is 'Disgusting, Disrespectful'",link,https://www.opposingviews.com/i/society/rep-maxine-waters-never-seen-anybody-disrespectful-trump?fb=ov,5/2/17 22:00,1500,2222,178,1023,62,11,131,17,256
President Trump is proposing one of the biggest tax cuts in American history. Here's how it would affect your bank account:,Trump Calls For Massive Tax Cut,video,https://www.facebook.com/opposingviews/videos/10154726369641051/,5/2/17 21:25,597,328,90,493,34,3,9,4,54
Do you agree or disagree?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154724323441051/?type=3,5/2/17 21:00,1347,44,571,1291,50,6,0,0,0
"This father grabbed his 3-week-old daughter, brutally raped her, tortured her, and then finally killed her.","Dad Rapes, Kills 3-Week-Old Daughter; Should He Get The Death Penalty?",link,https://www.opposingviews.com/i/society/crime/dad-rapes-kills-3-week-old-daughter-should-he-get-death-penalty?fb=wt,5/2/17 20:31,4212,3789,1112,1601,15,37,2,309,2248
These plastic-eating caterpillars may be the secret to cleaning up our planet:,Plastic-Eating Caterpillars Could Save The World,video,https://www.facebook.com/opposingviews/videos/10154726340986051/,5/2/17 20:00,647,38,453,559,21,63,4,0,0
"Jimmy Kimmel delivered an emotional speech on his newborn son's open-heart surgery: ""Before 2014, if you were born with congenital heart disease, like my son was, there was a good chance you'd never be able to get health insurance.""",Kimmel Delivers Heartfelt Speech On Newborn Son's Surgery,video,https://www.facebook.com/opposingviews/videos/10154726578456051/,5/2/17 19:00,1622,458,367,1254,207,13,8,123,17
"At first, 18-year-old Jamie's parents weren't too concerned when they found a note from her saying she'd be home soon. When she didn't come home, however, they started to worry. Once they reported her missing, everyone started trying to find her. Well, they finally got some news.",Parents Of Girl Who Said She's Be Home Soon Before Vanishing Learn What Happened,link,https://www.opposingviews.com/i/society/teen-found-dead-after-leaving-parents-note-shed-be-home-soon,5/2/17 18:31,77,11,14,46,1,1,0,29,0
You better watch who you're messing with...,,video,https://www.facebook.com/opposingviews/videos/10154726495546051/,5/2/17 18:00,3299,99,2439,1911,28,35,1323,0,2
"Chelsea Clinton just responded to President Trump's Civil War comments with one word, and it's sparking some serious controversy.","Chelsea Clinton Responds To Trump With 1 Word, Sparks Outrage",link,https://www.opposingviews.com/i/politics/chelsea-clinton-responds-trumps-civil-war-comments,5/2/17 17:33,201,354,26,125,14,3,46,2,11
"When this elephant saw a man being attacked, he didn't hesitate...",,video,https://www.facebook.com/opposingviews/videos/10154726473291051/,5/2/17 17:00,1854,42,487,1508,221,115,9,0,1
"When a farmer went out to milk his cows, he was horrified to see that 32 of them were dead. They were all stacked up on top of each other. He was so confused - and then he realized how it happened.","Farmer Discovers 32 Cows Found Dead Piled On Top Of Each Other, Realizes What Happened (Photos)",link,https://www.opposingviews.com/i/society/animal-rights/lightning-kills-32-cows-leaving-them-piled-top-each-other,5/2/17 16:31,331,41,61,118,7,38,2,165,1
Just when you thought skydiving couldn't possibly get any scarier...,,video,https://www.facebook.com/opposingviews/videos/10154726458056051/,5/2/17 16:00,1507,131,894,642,7,732,5,118,3
"Take a good hard look at this picture. Chances are, you can't see why people are freaking out over it. Once you spot it, though, you can't unsee it.",This Picture Of Teens In The Club Is Freaking Everyone Out After Bizarre Thing Is Spotted (Photo),link,https://www.opposingviews.com/i/social/bizarre-picture-goes-viral,5/2/17 15:01,19,3,1,12,7,0,0,0,0
"President Trump probably did not want this video to be dug up, but now it's out there - and everyone can see what he did right in front of the First Lady.",Footage Of Trump Surfaced And Is Going Viral Because Of What He Does In Front Of Melania (Video),link,https://www.opposingviews.com/i/society/unearthed-footage-shows-trump-eyeing-spice-girl-front-melania,5/2/17 14:30,155,418,59,74,2,8,39,1,31
"This man broke into a woman's home, saw the little girl in front of him, and decided to rape her. Her mother realized what was happening and tried to stop him, but he wound up shooting her 5 times before fleeing the scene. Now, a judge let him know exactly what happens to men who try to rape little girls.",Man Who Tried To Rape Little Girl And Shot Her Mother Learns His Fate,link,https://www.opposingviews.com/i/society/crime/man-tries-rape-girl-mom-tries-protect-her-so-he-shoots-her,5/2/17 14:07,366,198,103,121,2,9,1,36,197
Nick Cannon just suffered an unimaginable loss.,Nick Cannon Is Heartbroken After Revealing He Suffered A Surprising Loss (Photos),link,https://www.opposingviews.com/i/society/nick-cannon-reveals-san-diego-shooting-victim-was-his-childhood-friend,5/2/17 12:30,31,6,2,19,3,0,0,9,0
Barack and Michelle Obama are sparking serious outrage after what they just did.,People Are Not Happy About What The Obamas Just Did,link,https://www.opposingviews.com/i/politics/barack-and-michelle-obama-criticized-controversial-deals,5/2/17 12:00,292,502,44,183,29,7,17,7,49
Katy Perry is sparking outrage after people realized something really bad about her Met Gala dress last night. Take a closer look.,Katy Perry Sparks Controversy After People Realize Something About Her Dress (Photo),link,https://www.opposingviews.com/i/social/katy-perry-sparks-controversy-wearing-gown-designed-anti-semite,5/2/17 10:30,32,57,5,20,0,2,3,1,6
Michelle Obama just revealed the real reason why she made this face during President Trump's inauguration.,Here's What Michelle Obama Was Actually Thinking The Moment This Picture Was Taken (Photo),link,https://www.opposingviews.com/i/social/michelle-obama-explains-viral-side-eye-picture-trump-inauguration,5/2/17 10:00,118,213,13,81,4,2,21,1,9
"These parents thought it'd be funny to tell their son he was going to be put up for adoption and upload it to YouTube. They also smashed the kids' Xbox as a prank and got the footage to go viral. Well, they just learned the consequences of their cruel pranks.",Father And Stepmom Who Pranked Kids In Viral Videos Learn The Consequences Of Their Actions (Video),link,https://www.opposingviews.com/i/social/parents-who-pranked-kids-lose-custody-ofthem,5/2/17 9:33,58,55,8,25,3,1,0,6,23
"This woman crashed her truck, and as it burst into flames, bystanders gathered around. This guy ran to her side to sit with her while she died, but it's what everyone else did that has people up in arms.","While This Hero Tried To Comfort A Dying Woman, The Others Standing Around Did This",link,https://www.opposingviews.com/i/society/people-took-pictures-while-hero-driver-comforted-dying-woman-crash,5/2/17 9:02,142,30,42,86,6,10,0,37,3
"One of the most legendary musicians in recent history just died. He was performing on stage during his birthday celebration last night when he suddenly collapsed. Rest in peace, sir, and thanks for the music.",Legendary Musician Dies On Stage In Front Of Crowd Celebrating His Birthday,link,https://www.opposingviews.com/i/society/col-bruce-hampton-dead,5/2/17 8:30,297,31,72,136,5,29,1,126,0
Jimmy Kimmel just revealed heartbreaking news about his newborn son.,Jimmy Kimmel Took To The Air To Reveal Devastating News About His Newborn Son (Video),link,https://www.opposingviews.com/i/health/jimmy-kimmel-reveals-his-newborn-son-had-open-heart-surgery,5/2/17 8:01,485,213,57,243,49,3,1,188,1
"President Trump just officially ran his first ad touting his first 100 days in office, but there's something about it people were quick to notice.",People Notice Something About Campaign for Trump's First 100 Days,link,https://www.opposingviews.com/i/politics/trump-already-starts-2020-campaign-ad-find-video-youtube-please,5/2/17 7:31,69,83,4,42,7,2,12,0,6
"President Trump just said he would be ""honored"" to meet Kim Jong Un, and there's a surprising reason why.",Trump Explains the Reason Why He'd Be 'Honored' To Meet Kim Jong Un,link,https://www.opposingviews.com/i/politics/trump-says-hed-be-honored-meet-kim-jong-un,5/2/17 7:00,46,78,16,26,3,2,8,2,5
Do you think today's world needs to hear this message?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154724309706051/?type=3,5/2/17 0:15,1999,99,1063,1879,101,1,3,14,1
President Trump says he's doing everything possible to make good on the promises he made to America during the campaign. Do you think he's doing a good job so far?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154723763706051/?type=3,5/1/17 23:45,3156,1773,169,2642,170,7,109,15,213
Does he have a point?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154724308356051/?type=3,5/1/17 23:10,4804,4043,3557,3611,67,77,111,305,633
Should states be allowed to use armed drones to gun down criminals on the run? This state says yes.,Armed Drones In The Police Force,video,https://www.facebook.com/opposingviews/videos/10154724282031051/,5/1/17 22:35,3184,1035,967,2801,114,63,21,14,171
President Trump just issued an extremely unsettling warning about North Korea:,Trump's Warning On North Korea,video,https://www.facebook.com/opposingviews/videos/10154724271051051/,5/1/17 22:00,212,178,101,163,11,4,6,3,25
President Trump says people can't sue him anymore because he's president. Here's the truth about that:,Can You Sue The President?,video,https://www.facebook.com/opposingviews/videos/10154723798686051/,5/1/17 21:25,83,112,48,54,0,3,11,0,15
We could end hunger in America if we stopped throwing away so much food:,America's Food Waste Problem,video,https://www.facebook.com/opposingviews/videos/10154723924651051/,5/1/17 21:00,52,14,13,44,1,1,0,5,1
"As President Trump, with Melania by his side, presented a Massachusetts teacher with an award in the Oval Office, people couldn't help but notice something ""weird"" about what they saw. Look closer.","As Trump Presented Teacher With Award In Oval Office, People Notice Something Odd. Look Closer",link,https://www.opposingviews.com/i/politics/trumps-teacher-year-award-ceremony-called-weird-and-disgrace,5/1/17 20:33,87,43,12,68,1,3,7,6,2
Are Conservative views being suppressed on college campuses? Here's why Republican students at UC Berkeley are threatening to sue their school:,Conservative Views At College,video,https://www.facebook.com/opposingviews/videos/10154723822876051/,5/1/17 20:00,265,180,41,227,16,1,14,1,6
This man wants everyone to learn from his mistake. He couldn't walk for an entire year and his foot was blistered up and bleeding the whole time.,Dad Can't Walk As Foot Blisters And Bleeds From Common Habit Many People Have,link,http://www.americanow.com/story/health/2017/05/01/man-warns-against-taking-public-showers-photos,5/1/17 19:31,164,13,214,91,3,49,2,18,1
The 2018 midterm elections have the power to make or break Trump's success as president. Here's why midterm elections are way more important than people think:,Why Midterm Elections Matter,video,https://www.facebook.com/opposingviews/videos/10154723807991051/,5/1/17 19:00,73,87,24,56,1,0,15,0,1
"After nearly 5 years of seeing a lump on her husband's face, this wife decided to go in and pop it. She was not expecting this to come out.",Loving Wife Decides To Pop Husbands Lump -- Is Shocked By What Comes Out,link,http://www.americanow.com/story/health/2017/05/01/wife-pops-husbands-gigantic-pimple-video,5/1/17 18:31,47,9,15,40,3,1,3,0,0
"This man waited years to have sex with his wife. Finally, on their honeymoon, it happened. Sadly, that honeymoon quickly turned into a nightmare when he took a look in her underwear.",,video,https://www.facebook.com/opposingviews/videos/10154724377556051/,5/1/17 18:00,85,22,4,54,2,11,13,4,1
Ivanka Trump was in shock them moment a reporter looked her in the face and called her this.,Ivanka Trump Caught Off Guard By What Reporter Called Her,link,http://www.opposingviews.com/i/politics/cbs-anchor-calls-ivanka-trump-mrs-kushner,5/1/17 17:31,75,90,8,46,1,1,18,2,7
"Critics say Arkansas is cruel for executing four death row inmates in eight days, but the state is standing by its decision. Do you support or oppose Arkansas' use of the death penalty?",Arkansas' Death Row Executions Spark Debate,video,https://www.facebook.com/opposingviews/videos/10154723779346051/,5/1/17 17:00,2814,1566,165,2647,118,4,7,6,32
"Katy Perry is coming under serious fire for the ""racist"" joke she made about Barack Obama.",Katy Perry Under Fire For 'Racist' Obama Joke,link,http://www.opposingviews.com/i/social/katy-perry-sparks-outrage-joke-about-obama-and-her-black-hair-find-youtube-video,5/1/17 16:31,583,796,88,266,15,16,200,16,70
President Trump says he accomplished a huge amount for America during his first 100 days in office. Is Trump a better president than Obama so far?,Trump's First 100 Days,video,https://www.facebook.com/opposingviews/videos/10154723786981051/,5/1/17 16:01,2681,2160,176,2187,154,10,246,10,74
Beachgoers saw a woman being attacked and immediately rushed to call the police. It was only later that theyrealized the woman was one of Hollywood's most recognizable faces.,Police Called After Popular Hollywood Star Is Attacked On Beach (Video),link,https://www.opposingviews.com/i/social/beachgoers-were-shocked-see-man-assaulting-woman-beach-nothing-was-shocking-moment-they?fb=abc,5/1/17 15:31,262,72,40,161,9,46,27,10,9
We now know the shocking thing that Hillary Clinton did the moment she discovered she lost the election.,Here's What Clinton Did The Moment She Learned She Lost To Donald Trump,link,https://www.opposingviews.com/i/politics/hillary-sat-stone-faced-election-night,5/1/17 15:00,102,140,11,70,3,3,18,2,6
The cops just showed up at Kris Jenner's home and made an arrest. This is really bad.,Police Make An Arrest At Kardashian Mom Kris Jenner's House,link,https://www.opposingviews.com/i/society/stalker-arrested-kris-jenners-home,5/1/17 14:30,161,86,34,116,3,15,23,1,3
People were shocked when they saw what Ivanka Trump and Jared Kushner's kids were photographed holding and realized what their parents made them do.,Trump's Grandkids Were Taken Outside And Made To Do This By Ivanka And Jared (Photos),link,https://www.opposingviews.com/i/politics/trump-kids-bring-treats-secret-service-members,5/1/17 14:00,227,140,12,176,23,3,7,3,15
Donald Trump just revealed something unexpected about his family in the White House.,The President Is Concerned For His Family For One Shocking Reason,link,https://www.opposingviews.com/i/politics/trump-says-presidency-burden-his-family,5/1/17 12:00,196,162,22,129,5,9,14,11,28
"Leonardo DiCaprio sparked controversy this weekend when he marched against Trump's policy on climate change. Unfortunately for him, he forgot this picture existed.",Leo DiCaprio Called Hypocrite For Protesting Trump On Climate Change After This Photo Surfaced,link,https://www.opposingviews.com/i/society/leo-dicaprio-called-hypocrite-saying-trump-bad-planet,5/1/17 11:30,130,115,35,91,4,7,24,2,2
Were Trump's first 100 days as President a success or failure? Let Opposing Views and Cheddar know.,,video,https://www.facebook.com/opposingviews/videos/10154723046466051/,5/1/17 11:00,1026,1643,278,658,133,8,33,9,185
All it took was one question from this reporter during Trump's interview this morning for the President to kick him out of the Oval Office.,Trump Just Kicked Reporter Out Of Oval Office Because He Asked This One Question (Video),link,https://www.opposingviews.com/i/politics/trump-kicks-reporter-out-oval-office-because-he-didnt-his-question,5/1/17 10:31,579,443,115,350,19,16,99,17,78
"Tom Hanks just revealed the shocking thing the Obamas did to ""screw"" him over on vacation.",Tom Hanks Says He Got 'Screwed' On Trip With Obamas For One Reason (Video),link,https://www.opposingviews.com/i/society/tom-hanks-says-he-got-screwed-trip-obamas,5/1/17 10:04,212,172,29,131,11,6,58,1,5
"This is really, really bad for Ivanka Trump.",It May Be The Beginning Of The End For Ivanka Trump After This Just Happened,link,https://www.opposingviews.com/i/politics/senator-calls-investigating-ivanka-trump,5/1/17 9:35,211,279,52,128,7,10,43,2,21
All these officers were trying to do was enjoy their meal at a local restaurant. They never expected the employees would do this to them.,Cops Thought They Were Welcome In This Restaurant - Until They Heard What Was Over The Speakers,link,https://www.opposingviews.com/i/society/restaurant-plays-anti-cop-rap-song-while-police-eat,5/1/17 9:09,42,34,9,18,2,1,2,2,17
"When a woman purchased this purse from Walmart, she got it home, opened it up, and discovered a note inside. She was completely horrified when she realized what the note said.","Shopper Finds Note In Walmart Purse, Then Realizes Who It's From (Photo)",link,https://www.opposingviews.com/i/society/woman-finds-note-chinese-prisoner-walmart-purse,5/1/17 8:30,75,8,22,43,0,15,2,12,3
"Take a good look at this woman. Recognize her from anywhere? Chances are the answer is no. You'd be surprised to learn that she's an award-winning, legendary actress who's been in some of the biggest movies of our time. When you see her younger photos, you'll recognize her immediately.",Do You Remember this Legendary Actress? She's Now Unrecognizable And Admits To Being 'Miserable' And Flat Broke (Photos),link,https://www.opposingviews.com/i/society/take-good-look-woman-recognize-her-anywhere-chances-are-answer-no-youd-be-surprised-learn?fb=abc,5/1/17 7:31,49,21,13,23,1,3,0,22,0
YES or NO: Will Trump be a better president than Obama?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154722441446051/?type=3,5/1/17 0:38,4187,5068,246,3261,228,17,527,23,131
Should English be America's official language?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154722257736051/?type=3,4/30/17 23:40,2171,456,774,2040,96,3,16,2,14
States across America are making animal abuse a felony. Do you support this?,States Are Making Animal Abuse A Felony,video,https://www.facebook.com/opposingviews/videos/10154722034351051/,4/30/17 23:10,23579,3770,6744,22062,1116,14,8,82,298
"Everyone, meet Madeline Stuart. She's the first-ever professional model with Down Syndrome, and she's inspiring millions of people around the world:",First-Ever Professional Model With Down Syndrome,video,https://www.facebook.com/opposingviews/videos/10154722031716051/,4/30/17 22:35,4022,101,969,3567,425,27,2,1,0
Do you love Michelle Obama?,Do You Love Michelle Obama?,video,https://www.facebook.com/opposingviews/videos/10154721646796051/,4/30/17 22:00,13025,11637,980,6719,1430,43,3451,119,1263
"When Don and Teri met on Match.com, they figured they'd be together forever. They soon got engaged and began planning their lives together. Suddenly, from out of nowhere, Teri sent him this text. She didn't want to speak to him ever again. He was crushed and couldn't understand why. Three days later, he got the bad news.",Man's Relationship Turns Into Nightmare,link,https://www.opposingviews.com/i/society/when-don-and-teri-met-matchcom-they-knew-theyd-be-together-forever-they-soon-got-engaged?fb=ov,4/30/17 21:44,51,0,10,31,0,18,1,1,0
"Doctors approached this new dad and told him to follow them. He did. He thought they were leading him to his baby. Instead, they led him into surgery. By the time they were done, he was missing something very important.","Father Thinks Doctors Are Leading Him To His New Baby, Gets Placed In Surgery Instead",link,https://www.opposingviews.com/i/society/father-undergoes-accidental-surgery-hospital?fb=ov,4/30/17 21:00,22,5,2,14,0,6,1,0,1
"This little girl looked much different after her mother's boyfriend got done with her. When the cops saw what he had done, they quickly arrested him.","Woman's Boyfriend Started By 'Scalping' 3-Year-Old Girl, But He Didn't Stop There",link,http://www.americanow.com/story/society/2016/08/12/womans-boyfriend-started-scalping-3-year-old-girl-he-didnt-stop-there?Fb=ovThis,4/30/17 20:40,179,48,42,49,1,3,0,17,109
"This teen slipped on a pair of brass knuckles, flipped off the camera, then approached an unsuspecting boy and sucker-punched him. Well, the teen just got the worst news he could possibly get.",Teen Who Suckerpunched Boy With Brass Knuckles Gets Some Bad News (Video),link,http://www.americanow.com/story/society/2016/11/13/teen-who-suckerpunched-boy-brass-knuckles-gets-some-bad-news-video?fb=ov,4/30/17 20:20,106,90,23,64,0,6,14,1,21
Parents beware.,Massive Xbox-Related Recall After 20 Troubling Incidents,link,https://www.opposingviews.com/i/health/xbox-one-controller-chargers-recalled-over-burn-hazard?fb=ov,4/30/17 20:00,68,18,399,58,1,6,1,2,0
This couple thought they would try something new during sex. They had no idea that decision would land the woman in a hospital for emergency surgery.,"Woman Has Emergency Surgery After Sex Goes Wrong, Couple Warns Others Not To Make Same Mistake",link,https://www.opposingviews.com/i/health/couple-thought-they-would-try-something-new-during-sex-they-had-no-idea-decision-would-land?fb=ov,4/30/17 19:40,93,18,27,59,2,16,13,2,1
This photo of Kellyanne Conway with her daughters is going viral after people noticed something really bizarre in the background.,Can You See The Strange Thing In The Background Of This Picture Of Kellyanne Conway? (Photos),link,https://www.opposingviews.com/i/social/photo-kellyanne-conway-going-viral-after-people-noticed-something-really-bizarre-background?fb=ov,4/30/17 19:20,29,50,3,19,3,1,5,0,1
"All in all, 21 children and 6 adults fell victim to this brutal accident. Even the officials were taken aback when they realized what caused it.","Cause Of Very Bad School Bus Accident Finally Comes Out, Leads To Disbelief Among Officials",link,http://www.americanow.com/story/society/2016/10/10/cause-very-bad-school-bus-accident-finally-comes-out-leads-disbelief-among?fb=ov,4/30/17 19:00,59,9,22,30,0,10,1,17,1
This girl noticed a large young man standing in line at McDonald's and completely snapped. She began yelling at him for being fat and eating at a fast food restaurant in front of everyone. Then came the karma.,"Girl Yells At Overweight Man Eating At McDonald's, Gets Healthy Dose Of Karma (Video)",link,https://www.opposingviews.com/i/social/woman-took-one-look-guy-line-mcdonalds-and-screamed-him-being-fat-she-said-hes-costing?fb=ov,4/30/17 18:40,201,97,54,104,6,9,35,7,40
"Controversy ensued after Arkansas executed a string of men last week. It was revealed what one of the men ate before his execution, and some people are simply outraged.",Executed Murderer Ate Better In His Last Meal Than Most Americans Do,link,https://www.opposingviews.com/i/society/death-row-inmates-huge-last-meal-revealed?fb=ov,4/30/17 18:20,62,65,12,40,1,5,2,4,10
"President Trump's Oval Office desk has a big red button placed squarely in the middle. He just revealed what it's for, and it is something nobody saw coming.",Trump Uses Red Button On Desk For Unusual Reason (Photo),link,https://www.opposingviews.com/i/society/here-red-button-trump-has-his-oval-office-desk-order-coke?fb=ptba,4/30/17 18:00,19,33,4,13,0,0,6,0,0
"This photo is going viral, but not for a good reason, and once you take a closer look, you'll see why.",This Picture Is Causing Serious Controversy. Can You Spot Why? Look Closer. (Photo),link,https://www.opposingviews.com/i/social/photo-going-viral-not-good-reason-and-once-you-take-closer-look-youll-see-why?fb=ov,4/30/17 17:40,88,25,11,63,3,3,5,4,10
"After a Caribbean vacation, a woman returned home to find a rash on her knee. At first it didn't cause concern, but it just wouldn't go away. She went to the doctor to get it checked out. It didn't take long to discover it wasn't a rash at all.","Woman Goes To Doctor For 'Rash' That Won't Go Away, Discovers It's Something So Much Worse (Photo)",link,https://www.opposingviews.com/i/health/woman-who-developed-rash-after-vacation-finds-out-its-parasitic-worm?fb=ov,4/30/17 17:20,91,9,43,51,2,29,0,6,3
"Her boyfriend told her to go out and get even bigger breasts, so she did. Unfortunately, she didn't think it all the way through. Now she's paying the price.","Girlfriend Gets Humongous Breast Implants For BF, Doesn't Realize One Little Thing (Photos)",link,http://www.americanow.com/story/society/2016/10/26/girlfriend-gets-humongous-breast-implants-bf-doesnt-realize-one-little?fb=ov,4/30/17 17:00,28,14,3,15,1,5,2,5,0
